timestamp,grid_market_in,grid_market_out,grid_retail_in,grid_retail_out,levies_price_in,levies_price_out
1616603400,400,0,800,0,1800,0
1616604300,400,0,800,0,1800,0
1616605200,400,0,800,0,1800,0
1616606100,400,0,800,0,1800,0
1616607000,400,0,800,0,1800,0
1616607900,400,0,800,0,1800,0
1616608800,400,0,800,0,1800,0
1616609700,400,0,800,0,1800,0
1616610600,400,0,800,0,1800,0
1616611500,400,0,800,0,1800,0
1616612400,400,0,800,0,1800,0
1616613300,400,0,800,0,1800,0
1616614200,400,0,800,0,1800,0
1616615100,400,0,800,0,1800,0
1616616000,400,0,800,0,1800,0
1616616900,400,0,800,0,1800,0
1616617800,400,0,800,0,1800,0
1616618700,400,0,800,0,1800,0
1616619600,400,0,800,0,1800,0
1616620500,400,0,800,0,1800,0
1616621400,400,0,800,0,1800,0
1616622300,400,0,800,0,1800,0
1616623200,400,0,800,0,1800,0
1616624100,400,0,800,0,1800,0
1616625000,400,0,800,0,1800,0
1616625900,400,0,800,0,1800,0
1616626800,400,0,800,0,1800,0
1616627700,400,0,800,0,1800,0
1616628600,400,0,800,0,1800,0
1616629500,400,0,800,0,1800,0
1616630400,400,0,800,0,1800,0
1616631300,400,0,800,0,1800,0
1616632200,400,0,800,0,1800,0
1616633100,400,0,800,0,1800,0
1616634000,400,0,800,0,1800,0
1616634900,400,0,800,0,1800,0
1616635800,400,0,800,0,1800,0
1616636700,400,0,800,0,1800,0
1616637600,400,0,800,0,1800,0
1616638500,400,0,800,0,1800,0
1616639400,400,0,800,0,1800,0
1616640300,400,0,800,0,1800,0
1616641200,400,0,800,0,1800,0
1616642100,400,0,800,0,1800,0
1616643000,400,0,800,0,1800,0
1616643900,400,0,800,0,1800,0
1616644800,400,0,800,0,1800,0
1616645700,400,0,800,0,1800,0
1616646600,400,0,800,0,1800,0
1616647500,400,0,800,0,1800,0
1616648400,400,0,800,0,1800,0
1616649300,400,0,800,0,1800,0
1616650200,400,0,800,0,1800,0
1616651100,400,0,800,0,1800,0
1616652000,400,0,800,0,1800,0
1616652900,400,0,800,0,1800,0
1616653800,400,0,800,0,1800,0
1616654700,400,0,800,0,1800,0
1616655600,400,0,800,0,1800,0
1616656500,400,0,800,0,1800,0
1616657400,400,0,800,0,1800,0
1616658300,400,0,800,0,1800,0
1616659200,400,0,800,0,1800,0
1616660100,400,0,800,0,1800,0
1616661000,400,0,800,0,1800,0
1616661900,400,0,800,0,1800,0
1616662800,400,0,800,0,1800,0
1616663700,400,0,800,0,1800,0
1616664600,400,0,800,0,1800,0
1616665500,400,0,800,0,1800,0
1616666400,400,0,800,0,1800,0
1616667300,400,0,800,0,1800,0
1616668200,400,0,800,0,1800,0
1616669100,400,0,800,0,1800,0
1616670000,400,0,800,0,1800,0
1616670900,400,0,800,0,1800,0
1616671800,400,0,800,0,1800,0
1616672700,400,0,800,0,1800,0
1616673600,400,0,800,0,1800,0
1616674500,400,0,800,0,1800,0
1616675400,400,0,800,0,1800,0
1616676300,400,0,800,0,1800,0
1616677200,400,0,800,0,1800,0
1616678100,400,0,800,0,1800,0
1616679000,400,0,800,0,1800,0
1616679900,400,0,800,0,1800,0
1616680800,400,0,800,0,1800,0
1616681700,400,0,800,0,1800,0
1616682600,400,0,800,0,1800,0
1616683500,400,0,800,0,1800,0
1616684400,400,0,800,0,1800,0
1616685300,400,0,800,0,1800,0
1616686200,400,0,800,0,1800,0
1616687100,400,0,800,0,1800,0
1616688000,400,0,800,0,1800,0
1616688900,400,0,800,0,1800,0
1616689800,400,0,800,0,1800,0
1616690700,400,0,800,0,1800,0
1616691600,400,0,800,0,1800,0
1616692500,400,0,800,0,1800,0
1616693400,400,0,800,0,1800,0
1616694300,400,0,800,0,1800,0
1616695200,400,0,800,0,1800,0
1616696100,400,0,800,0,1800,0
1616697000,400,0,800,0,1800,0
1616697900,400,0,800,0,1800,0
1616698800,400,0,800,0,1800,0
1616699700,400,0,800,0,1800,0
1616700600,400,0,800,0,1800,0
1616701500,400,0,800,0,1800,0
1616702400,400,0,800,0,1800,0
1616703300,400,0,800,0,1800,0
1616704200,400,0,800,0,1800,0
1616705100,400,0,800,0,1800,0
1616706000,400,0,800,0,1800,0
1616706900,400,0,800,0,1800,0
1616707800,400,0,800,0,1800,0
1616708700,400,0,800,0,1800,0
1616709600,400,0,800,0,1800,0
1616710500,400,0,800,0,1800,0
1616711400,400,0,800,0,1800,0
